"Location name : Ruliba(Nyabarongo)"
"Location type : Hydrology Station"
"Identifier : 270001"
"Latitude : -1.96253","Longitude : 30.00348","SRID : 4326"

"Parameter : Discharge"
"Parameter : m^3/s"

Timestamp,Value
2009-09-06T00:00:00.0000000+02:00,95.89701952
2009-09-07T00:00:00.0000000+02:00,95.89701952
2009-09-08T00:00:00.0000000+02:00,95.89701952
2009-09-09T00:00:00.0000000+02:00,95.89701952
2009-09-10T00:00:00.0000000+02:00,95.89701952
2009-09-11T00:00:00.0000000+02:00,95.89701952
2009-09-12T00:00:00.0000000+02:00,95.89701952
2009-09-13T00:00:00.0000000+02:00,100.7763202
2009-09-14T00:00:00.0000000+02:00,95.89701952
2009-09-15T00:00:00.0000000+02:00,95.89701952
2009-09-16T00:00:00.0000000+02:00,95.89701952
2009-09-17T00:00:00.0000000+02:00,95.89701952
2009-09-18T00:00:00.0000000+02:00,95.89701952
2009-09-19T00:00:00.0000000+02:00,95.89701952
2009-09-20T00:00:00.0000000+02:00,100.7763202
2009-09-21T00:00:00.0000000+02:00,110.8962324
2009-09-22T00:00:00.0000000+02:00,110.8962324
2009-09-23T00:00:00.0000000+02:00,110.8962324
2009-09-24T00:00:00.0000000+02:00,110.8962324
2009-09-25T00:00:00.0000000+02:00,110.8962324
2009-09-26T00:00:00.0000000+02:00,110.8962324
2009-09-27T00:00:00.0000000+02:00,110.8962324
2009-09-28T00:00:00.0000000+02:00,110.8962324
2009-09-29T00:00:00.0000000+02:00,105.7760676
2009-09-30T00:00:00.0000000+02:00,105.7760676
2009-10-01T00:00:00.0000000+02:00,105.7760676
2009-10-02T00:00:00.0000000+02:00,110.8962324
2009-10-03T00:00:00.0000000+02:00,110.8962324
2009-10-04T00:00:00.0000000+02:00,110.8962324
2009-10-05T00:00:00.0000000+02:00,110.8962324
2009-10-06T00:00:00.0000000+02:00,121.4977005
2009-10-07T00:00:00.0000000+02:00,121.4977005
2009-10-08T00:00:00.0000000+02:00,121.4977005
2009-10-09T00:00:00.0000000+02:00,121.4977005
2009-10-10T00:00:00.0000000+02:00,116.136786
2009-10-11T00:00:00.0000000+02:00,116.136786
2009-10-12T00:00:00.0000000+02:00,116.136786
2009-10-13T00:00:00.0000000+02:00,116.136786
2009-10-14T00:00:00.0000000+02:00,116.136786
2009-10-15T00:00:00.0000000+02:00,110.8962324
2009-10-16T00:00:00.0000000+02:00,110.8962324
2009-10-17T00:00:00.0000000+02:00,110.8962324
2009-10-18T00:00:00.0000000+02:00,110.8962324
2009-10-19T00:00:00.0000000+02:00,110.8962324
2009-10-20T00:00:00.0000000+02:00,110.8962324
2009-10-21T00:00:00.0000000+02:00,110.8962324
2009-10-22T00:00:00.0000000+02:00,110.8962324
2009-10-23T00:00:00.0000000+02:00,110.8962324
2009-10-24T00:00:00.0000000+02:00,110.8962324
2009-10-25T00:00:00.0000000+02:00,110.8962324
2009-10-26T00:00:00.0000000+02:00,110.8962324
2009-10-27T00:00:00.0000000+02:00,110.8962324
2009-10-28T00:00:00.0000000+02:00,110.8962324
2009-10-29T00:00:00.0000000+02:00,110.8962324
2009-10-30T00:00:00.0000000+02:00,110.8962324
2009-10-31T00:00:00.0000000+02:00,116.136786
2009-11-01T00:00:00.0000000+02:00,138.3023391
2009-11-02T00:00:00.0000000+02:00,132.5805034
2009-11-03T00:00:00.0000000+02:00,132.5805034
2009-11-04T00:00:00.0000000+02:00,138.3023391
2009-11-05T00:00:00.0000000+02:00,126.9789485
2009-11-06T00:00:00.0000000+02:00,126.9789485
2009-11-07T00:00:00.0000000+02:00,121.4977005
2009-11-08T00:00:00.0000000+02:00,121.4977005
2009-11-09T00:00:00.0000000+02:00,121.4977005
2009-11-10T00:00:00.0000000+02:00,132.5805034
2009-11-11T00:00:00.0000000+02:00,132.5805034
2009-11-12T00:00:00.0000000+02:00,126.9789485
2009-11-13T00:00:00.0000000+02:00,132.5805034
2009-11-14T00:00:00.0000000+02:00,132.5805034
2009-11-15T00:00:00.0000000+02:00,132.5805034
2009-11-16T00:00:00.0000000+02:00,126.9789485
2009-11-17T00:00:00.0000000+02:00,126.9789485
2009-11-18T00:00:00.0000000+02:00,121.4977005
2009-11-19T00:00:00.0000000+02:00,121.4977005
2009-11-20T00:00:00.0000000+02:00,121.4977005
2009-11-21T00:00:00.0000000+02:00,121.4977005
2009-11-22T00:00:00.0000000+02:00,116.136786
2009-11-23T00:00:00.0000000+02:00,116.136786
2009-11-24T00:00:00.0000000+02:00,121.4977005
2009-11-25T00:00:00.0000000+02:00,132.5805034
2009-11-26T00:00:00.0000000+02:00,132.5805034
2009-11-27T00:00:00.0000000+02:00,110.8962324
2009-11-28T00:00:00.0000000+02:00,110.8962324
2009-11-29T00:00:00.0000000+02:00,132.5805034
2009-11-30T00:00:00.0000000+02:00,132.5805034
2009-12-01T00:00:00.0000000+02:00,121.4977005
2009-12-02T00:00:00.0000000+02:00,126.9789485
2009-12-03T00:00:00.0000000+02:00,121.4977005
2009-12-04T00:00:00.0000000+02:00,132.5805034
2009-12-05T00:00:00.0000000+02:00,132.5805034
2009-12-06T00:00:00.0000000+02:00,132.5805034
2009-12-07T00:00:00.0000000+02:00,132.5805034
2009-12-08T00:00:00.0000000+02:00,150.1067513
2009-12-09T00:00:00.0000000+02:00,150.1067513
2009-12-10T00:00:00.0000000+02:00,150.1067513
2009-12-11T00:00:00.0000000+02:00,162.391987
2009-12-12T00:00:00.0000000+02:00,168.714854
2009-12-13T00:00:00.0000000+02:00,181.7209709
2009-12-14T00:00:00.0000000+02:00,175.1578561
2009-12-15T00:00:00.0000000+02:00,181.7209709
2009-12-16T00:00:00.0000000+02:00,188.404176
2009-12-17T00:00:00.0000000+02:00,188.404176
2009-12-18T00:00:00.0000000+02:00,195.2074497
2009-12-19T00:00:00.0000000+02:00,195.2074497
2009-12-20T00:00:00.0000000+02:00,195.2074497
2009-12-21T00:00:00.0000000+02:00,181.7209709
2009-12-22T00:00:00.0000000+02:00,181.7209709
2009-12-23T00:00:00.0000000+02:00,175.1578561
2009-12-24T00:00:00.0000000+02:00,168.714854
2009-12-25T00:00:00.0000000+02:00,168.714854
2009-12-26T00:00:00.0000000+02:00,162.391987
2009-12-27T00:00:00.0000000+02:00,162.391987
2009-12-28T00:00:00.0000000+02:00,156.1892782
2009-12-29T00:00:00.0000000+02:00,156.1892782
2009-12-30T00:00:00.0000000+02:00,144.1444301
2009-12-31T00:00:00.0000000+02:00,144.1444301
2010-01-01T00:00:00.0000000+02:00,168.714854
2010-01-02T00:00:00.0000000+02:00,202.1307705
2010-01-03T00:00:00.0000000+02:00,231.0241105
2010-01-04T00:00:00.0000000+02:00,202.1307705
2010-01-05T00:00:00.0000000+02:00,202.1307705
2010-01-06T00:00:00.0000000+02:00,195.2074497
2010-01-07T00:00:00.0000000+02:00,195.2074497
2010-01-08T00:00:00.0000000+02:00,181.7209709
2010-01-09T00:00:00.0000000+02:00,181.7209709
2010-01-10T00:00:00.0000000+02:00,168.714854
2010-01-11T00:00:00.0000000+02:00,168.714854
2010-01-12T00:00:00.0000000+02:00,168.714854
2010-01-13T00:00:00.0000000+02:00,162.391987
2010-01-14T00:00:00.0000000+02:00,209.1741175
2010-01-15T00:00:00.0000000+02:00,253.9536156
2010-01-16T00:00:00.0000000+02:00,261.8365861
2010-01-17T00:00:00.0000000+02:00,269.8394267
2010-01-18T00:00:00.0000000+02:00,246.1905336
2010-01-19T00:00:00.0000000+02:00,209.1741175
2010-01-20T00:00:00.0000000+02:00,195.2074497
2010-01-21T00:00:00.0000000+02:00,181.7209709
2010-01-22T00:00:00.0000000+02:00,175.1578561
2010-01-23T00:00:00.0000000+02:00,175.1578561
2010-01-24T00:00:00.0000000+02:00,175.1578561
2010-01-25T00:00:00.0000000+02:00,175.1578561
2010-01-26T00:00:00.0000000+02:00,162.391987
2010-01-27T00:00:00.0000000+02:00,156.1892782
2010-01-28T00:00:00.0000000+02:00,156.1892782
2010-01-29T00:00:00.0000000+02:00,144.1444301
2010-01-30T00:00:00.0000000+02:00,138.3023391
2010-01-31T00:00:00.0000000+02:00,138.3023391
2010-02-01T00:00:00.0000000+02:00,132.5805034
2010-02-02T00:00:00.0000000+02:00,121.4977005
2010-02-03T00:00:00.0000000+02:00,121.4977005
2010-02-04T00:00:00.0000000+02:00,110.8962324
2010-02-05T00:00:00.0000000+02:00,132.5805034
2010-02-06T00:00:00.0000000+02:00,132.5805034
2010-02-07T00:00:00.0000000+02:00,132.5805034
2010-02-08T00:00:00.0000000+02:00,144.1444301
2010-02-09T00:00:00.0000000+02:00,156.1892782
2010-02-10T00:00:00.0000000+02:00,175.1578561
2010-02-11T00:00:00.0000000+02:00,162.391987
2010-02-12T00:00:00.0000000+02:00,156.1892782
2010-02-13T00:00:00.0000000+02:00,156.1892782
2010-02-14T00:00:00.0000000+02:00,156.1892782
2010-02-15T00:00:00.0000000+02:00,162.391987
2010-02-16T00:00:00.0000000+02:00,156.1892782
2010-02-17T00:00:00.0000000+02:00,150.1067513
2010-02-18T00:00:00.0000000+02:00,150.1067513
2010-02-19T00:00:00.0000000+02:00,162.391987
2010-02-20T00:00:00.0000000+02:00,175.1578561
2010-02-21T00:00:00.0000000+02:00,168.714854
2010-02-22T00:00:00.0000000+02:00,202.1307705
2010-02-23T00:00:00.0000000+02:00,188.404176
2010-02-24T00:00:00.0000000+02:00,188.404176
2010-02-25T00:00:00.0000000+02:00,195.2074497
2010-02-26T00:00:00.0000000+02:00,209.1741175
2010-02-27T00:00:00.0000000+02:00,231.0241105
2010-02-28T00:00:00.0000000+02:00,246.1905336
2010-03-01T00:00:00.0000000+02:00,238.5473589
2010-03-02T00:00:00.0000000+02:00,238.5473589
2010-03-03T00:00:00.0000000+02:00,238.5473589
2010-03-04T00:00:00.0000000+02:00,238.5473589
2010-03-05T00:00:00.0000000+02:00,253.9536156
2010-03-06T00:00:00.0000000+02:00,253.9536156
2010-03-07T00:00:00.0000000+02:00,238.5473589
2010-03-08T00:00:00.0000000+02:00,223.6208076
2010-03-09T00:00:00.0000000+02:00,216.33747
2010-03-10T00:00:00.0000000+02:00,216.33747
2010-03-11T00:00:00.0000000+02:00,195.2074497
2010-03-12T00:00:00.0000000+02:00,195.2074497
2010-03-13T00:00:00.0000000+02:00,181.7209709
2010-03-14T00:00:00.0000000+02:00,175.1578561
2010-03-15T00:00:00.0000000+02:00,168.714854
2010-03-16T00:00:00.0000000+02:00,156.1892782
2010-03-17T00:00:00.0000000+02:00,156.1892782
2010-03-18T00:00:00.0000000+02:00,150.1067513
2010-03-19T00:00:00.0000000+02:00,150.1067513
2010-03-20T00:00:00.0000000+02:00,150.1067513
2010-03-21T00:00:00.0000000+02:00,150.1067513
2010-03-22T00:00:00.0000000+02:00,144.1444301
2010-03-23T00:00:00.0000000+02:00,138.3023391
2010-03-24T00:00:00.0000000+02:00,144.1444301
2010-03-25T00:00:00.0000000+02:00,144.1444301
2010-03-26T00:00:00.0000000+02:00,144.1444301
2010-03-27T00:00:00.0000000+02:00,138.3023391
2010-03-28T00:00:00.0000000+02:00,202.1307705
2010-03-29T00:00:00.0000000+02:00,231.0241105
2010-03-30T00:00:00.0000000+02:00,286.2046462
2010-03-31T00:00:00.0000000+02:00,277.9621194
2010-04-01T00:00:00.0000000+02:00,261.8365861
2010-04-02T00:00:00.0000000+02:00,238.5473589
2010-04-03T00:00:00.0000000+02:00,209.1741175
2010-04-04T00:00:00.0000000+02:00,209.1741175
2010-04-05T00:00:00.0000000+02:00,209.1741175
2010-04-06T00:00:00.0000000+02:00,202.1307705
2010-04-07T00:00:00.0000000+02:00,195.2074497
2010-04-08T00:00:00.0000000+02:00,188.404176
2010-04-09T00:00:00.0000000+02:00,181.7209709
2010-04-10T00:00:00.0000000+02:00,168.714854
2010-04-11T00:00:00.0000000+02:00,168.714854
2010-04-12T00:00:00.0000000+02:00,175.1578561
2010-04-13T00:00:00.0000000+02:00,168.714854
2010-04-14T00:00:00.0000000+02:00,162.391987
2010-04-15T00:00:00.0000000+02:00,162.391987
2010-04-16T00:00:00.0000000+02:00,175.1578561
2010-04-17T00:00:00.0000000+02:00,188.404176
2010-04-18T00:00:00.0000000+02:00,168.714854
2010-04-19T00:00:00.0000000+02:00,188.404176
2010-04-20T00:00:00.0000000+02:00,195.2074497
2010-04-21T00:00:00.0000000+02:00,195.2074497
2010-04-22T00:00:00.0000000+02:00,188.404176
2010-04-23T00:00:00.0000000+02:00,181.7209709
2010-04-24T00:00:00.0000000+02:00,175.1578561
2010-04-25T00:00:00.0000000+02:00,168.714854
2010-04-26T00:00:00.0000000+02:00,156.1892782
2010-04-27T00:00:00.0000000+02:00,156.1892782
2010-04-28T00:00:00.0000000+02:00,150.1067513
2010-04-29T00:00:00.0000000+02:00,156.1892782
2010-04-30T00:00:00.0000000+02:00,156.1892782
2010-05-01T00:00:00.0000000+02:00,195.2074497
2010-05-02T00:00:00.0000000+02:00,231.0241105
2010-05-03T00:00:00.0000000+02:00,261.8365861
2010-05-04T00:00:00.0000000+02:00,286.2046462
2010-05-05T00:00:00.0000000+02:00,286.2046462
2010-05-06T00:00:00.0000000+02:00,261.8365861
2010-05-07T00:00:00.0000000+02:00,238.5473589
2010-05-08T00:00:00.0000000+02:00,209.1741175
2010-05-09T00:00:00.0000000+02:00,209.1741175
2010-05-10T00:00:00.0000000+02:00,202.1307705
2010-05-11T00:00:00.0000000+02:00,202.1307705
2010-05-12T00:00:00.0000000+02:00,202.1307705
2010-05-13T00:00:00.0000000+02:00,195.2074497
2010-05-14T00:00:00.0000000+02:00,195.2074497
2010-05-15T00:00:00.0000000+02:00,195.2074497
2010-05-16T00:00:00.0000000+02:00,202.1307705
2010-05-17T00:00:00.0000000+02:00,209.1741175
2010-05-18T00:00:00.0000000+02:00,216.33747
2010-05-19T00:00:00.0000000+02:00,209.1741175
2010-05-20T00:00:00.0000000+02:00,195.2074497
2010-05-21T00:00:00.0000000+02:00,188.404176
2010-05-22T00:00:00.0000000+02:00,181.7209709
2010-05-23T00:00:00.0000000+02:00,195.2074497
2010-05-24T00:00:00.0000000+02:00,195.2074497
2010-05-25T00:00:00.0000000+02:00,195.2074497
2010-05-26T00:00:00.0000000+02:00,181.7209709
2010-05-27T00:00:00.0000000+02:00,175.1578561
2010-05-28T00:00:00.0000000+02:00,175.1578561
2010-05-29T00:00:00.0000000+02:00,168.714854
2010-05-30T00:00:00.0000000+02:00,156.1892782
2010-05-31T00:00:00.0000000+02:00,144.1444301
2011-02-01T00:00:00.0000000+02:00,144.1444301
2011-02-02T00:00:00.0000000+02:00,145.9205034
2011-02-03T00:00:00.0000000+02:00,144.7352522
2011-02-04T00:00:00.0000000+02:00,95.41571517
2011-02-05T00:00:00.0000000+02:00,95.41571517
2011-02-06T00:00:00.0000000+02:00,95.41571517
2011-02-07T00:00:00.0000000+02:00,94.45672089
2011-02-08T00:00:00.0000000+02:00,93.97903102
2011-02-09T00:00:00.0000000+02:00,93.50254604
2011-02-10T00:00:00.0000000+02:00,93.50254604
2011-02-11T00:00:00.0000000+02:00,93.50254604
2011-02-12T00:00:00.0000000+02:00,94.45672089
2011-02-13T00:00:00.0000000+02:00,147.7073967
2011-02-14T00:00:00.0000000+02:00,147.7073967
2011-02-15T00:00:00.0000000+02:00,144.7352522
2011-02-16T00:00:00.0000000+02:00,144.1444301
2011-02-17T00:00:00.0000000+02:00,94.93561561
2011-02-19T00:00:00.0000000+02:00,94.45672089
2011-02-20T00:00:00.0000000+02:00,145.9205034
2011-02-21T00:00:00.0000000+02:00,147.7073967
2011-02-22T00:00:00.0000000+02:00,147.1105634
2011-02-23T00:00:00.0000000+02:00,145.9205034
2011-02-24T00:00:00.0000000+02:00,144.1444301
2011-02-25T00:00:00.0000000+02:00,144.1444301
2011-02-26T00:00:00.0000000+02:00,144.7352522
2011-02-27T00:00:00.0000000+02:00,144.7352522
2011-02-28T00:00:00.0000000+02:00,145.9205034
2011-03-01T00:00:00.0000000+02:00,144.7352522
2011-03-02T00:00:00.0000000+02:00,95.41571517
2011-03-03T00:00:00.0000000+02:00,94.45672089
2011-03-04T00:00:00.0000000+02:00,95.41571517
2011-03-05T00:00:00.0000000+02:00,95.41571517
2011-03-06T00:00:00.0000000+02:00,144.1444301
2011-03-07T00:00:00.0000000+02:00,145.9205034
2011-03-08T00:00:00.0000000+02:00,147.1105634
2011-03-09T00:00:00.0000000+02:00,147.1105634
2011-03-10T00:00:00.0000000+02:00,148.3054322
2011-03-11T00:00:00.0000000+02:00,148.3054322
2011-03-12T00:00:00.0000000+02:00,147.1105634
2011-03-13T00:00:00.0000000+02:00,147.1105634
2011-03-14T00:00:00.0000000+02:00,211.3105236
2011-03-15T00:00:00.0000000+02:00,212.025059
2011-03-16T00:00:00.0000000+02:00,210.5971882
2011-03-17T00:00:00.0000000+02:00,149.5051095
2011-03-18T00:00:00.0000000+02:00,148.9046698
2011-03-19T00:00:00.0000000+02:00,148.9046698
2011-03-20T00:00:00.0000000+02:00,148.3054322
2011-03-21T00:00:00.0000000+02:00,148.3054322
2011-03-22T00:00:00.0000000+02:00,148.3054322
2011-03-23T00:00:00.0000000+02:00,148.3054322
2011-03-24T00:00:00.0000000+02:00,148.3054322
2011-03-25T00:00:00.0000000+02:00,147.7073967
2011-03-26T00:00:00.0000000+02:00,147.7073967
2011-03-27T00:00:00.0000000+02:00,147.1105634
2011-03-28T00:00:00.0000000+02:00,148.3054322
2011-03-29T00:00:00.0000000+02:00,146.5149323
2011-03-30T00:00:00.0000000+02:00,146.5149323
2011-03-31T00:00:00.0000000+02:00,147.1105634
2011-04-01T00:00:00.0000000+02:00,146.5149323
2011-04-02T00:00:00.0000000+02:00,147.1105634
2011-04-03T00:00:00.0000000+02:00,146.5149323
2011-04-04T00:00:00.0000000+02:00,147.1105634
2011-04-05T00:00:00.0000000+02:00,149.5051095
2011-04-06T00:00:00.0000000+02:00,149.5051095
2011-04-07T00:00:00.0000000+02:00,149.5051095
2011-04-08T00:00:00.0000000+02:00,149.5051095
2011-04-09T00:00:00.0000000+02:00,149.5051095
2011-04-10T00:00:00.0000000+02:00,148.9046698
2011-04-11T00:00:00.0000000+02:00,147.7073967
2011-04-12T00:00:00.0000000+02:00,147.1105634
2011-04-13T00:00:00.0000000+02:00,147.1105634
2011-04-14T00:00:00.0000000+02:00,147.1105634
2011-04-15T00:00:00.0000000+02:00,147.1105634
2011-04-16T00:00:00.0000000+02:00,146.5149323
2011-04-17T00:00:00.0000000+02:00,145.9205034
2011-04-18T00:00:00.0000000+02:00,145.9205034
2011-04-19T00:00:00.0000000+02:00,145.3272767
2011-04-20T00:00:00.0000000+02:00,145.3272767
2011-04-21T00:00:00.0000000+02:00,144.7352522
2011-04-22T00:00:00.0000000+02:00,144.7352522
2011-04-23T00:00:00.0000000+02:00,144.7352522
2011-04-24T00:00:00.0000000+02:00,144.1444301
2011-04-25T00:00:00.0000000+02:00,144.1444301
2011-04-26T00:00:00.0000000+02:00,144.1444301
2011-04-27T00:00:00.0000000+02:00,144.1444301
2011-04-28T00:00:00.0000000+02:00,95.41571517
2011-04-29T00:00:00.0000000+02:00,95.41571517
2011-04-30T00:00:00.0000000+02:00,144.1444301
2011-05-01T00:00:00.0000000+02:00,144.1444301
2011-05-02T00:00:00.0000000+02:00,144.1444301
2011-05-03T00:00:00.0000000+02:00,145.3272767
2011-05-04T00:00:00.0000000+02:00,145.3272767
2011-05-05T00:00:00.0000000+02:00,167.440669
2011-05-06T00:00:00.0000000+02:00,211.3105236
2011-05-07T00:00:00.0000000+02:00,237.0331145
2011-05-08T00:00:00.0000000+02:00,212.7407943
2011-05-09T00:00:00.0000000+02:00,212.7407943
2011-05-10T00:00:00.0000000+02:00,209.1741175
2011-05-11T00:00:00.0000000+02:00,209.1741175
2011-05-12T00:00:00.0000000+02:00,148.9046698
2011-05-13T00:00:00.0000000+02:00,148.3054322
2011-05-14T00:00:00.0000000+02:00,148.3054322
2011-05-15T00:00:00.0000000+02:00,148.3054322
2011-05-16T00:00:00.0000000+02:00,149.5051095
2011-05-17T00:00:00.0000000+02:00,209.1741175
2011-05-18T00:00:00.0000000+02:00,215.615735
2011-05-19T00:00:00.0000000+02:00,212.7407943
2011-05-20T00:00:00.0000000+02:00,209.1741175
2011-05-21T00:00:00.0000000+02:00,149.5051095
2011-05-22T00:00:00.0000000+02:00,148.9046698
2011-05-23T00:00:00.0000000+02:00,148.3054322
2011-05-24T00:00:00.0000000+02:00,147.1105634
2011-05-25T00:00:00.0000000+02:00,145.9205034
2011-05-26T00:00:00.0000000+02:00,145.9205034
2011-05-27T00:00:00.0000000+02:00,144.7352522
2011-05-28T00:00:00.0000000+02:00,144.7352522
2011-05-29T00:00:00.0000000+02:00,144.7352522
2011-05-30T00:00:00.0000000+02:00,142.9663927
2011-05-31T00:00:00.0000000+02:00,142.9663927
2011-06-04T00:00:00.0000000+02:00,94.45672089
2011-06-05T00:00:00.0000000+02:00,93.97903102
2011-06-06T00:00:00.0000000+02:00,93.50254604
2011-06-07T00:00:00.0000000+02:00,93.50254604
2011-06-08T00:00:00.0000000+02:00,93.50254604
2011-06-09T00:00:00.0000000+02:00,93.50254604
2011-06-10T00:00:00.0000000+02:00,93.50254604
2011-06-11T00:00:00.0000000+02:00,93.02726598
2011-06-12T00:00:00.0000000+02:00,147.7073967
2011-06-13T00:00:00.0000000+02:00,148.3054322
2011-06-15T00:00:00.0000000+02:00,145.9205034
2011-06-16T00:00:00.0000000+02:00,162.391987
2011-06-17T00:00:00.0000000+02:00,95.41571517
2011-06-18T00:00:00.0000000+02:00,94.45672089
2011-06-19T00:00:00.0000000+02:00,94.45672089
2011-06-20T00:00:00.0000000+02:00,93.50254604
2011-06-21T00:00:00.0000000+02:00,93.50254604
2011-06-22T00:00:00.0000000+02:00,93.50254604
2011-06-23T00:00:00.0000000+02:00,93.50254604
2011-06-24T00:00:00.0000000+02:00,93.50254604
2011-06-25T00:00:00.0000000+02:00,94.45672089
2011-06-26T00:00:00.0000000+02:00,94.45672089
2011-06-27T00:00:00.0000000+02:00,93.97903102
2011-06-28T00:00:00.0000000+02:00,166.1712897
2011-06-29T00:00:00.0000000+02:00,148.9046698
2011-06-30T00:00:00.0000000+02:00,210.5971882
2011-07-01T00:00:00.0000000+02:00,209.1741175
2011-07-02T00:00:00.0000000+02:00,149.5051095
2011-07-03T00:00:00.0000000+02:00,147.1105634
2011-07-04T00:00:00.0000000+02:00,145.9205034
2011-07-05T00:00:00.0000000+02:00,144.1444301
2011-07-06T00:00:00.0000000+02:00,95.41571517
2011-07-07T00:00:00.0000000+02:00,94.93561561
2011-07-08T00:00:00.0000000+02:00,94.93561561
2011-07-09T00:00:00.0000000+02:00,94.45672089
2011-07-10T00:00:00.0000000+02:00,93.97903102
2011-07-11T00:00:00.0000000+02:00,93.97903102
2011-07-12T00:00:00.0000000+02:00,93.97903102
2011-07-13T00:00:00.0000000+02:00,93.97903102
2011-07-14T00:00:00.0000000+02:00,93.50254604
2011-07-15T00:00:00.0000000+02:00,93.02726598
2011-07-16T00:00:00.0000000+02:00,93.02726598
2011-07-17T00:00:00.0000000+02:00,93.02726598
2011-07-18T00:00:00.0000000+02:00,93.02726598
2011-07-19T00:00:00.0000000+02:00,93.02726598
2011-07-20T00:00:00.0000000+02:00,92.55319088
2011-07-21T00:00:00.0000000+02:00,92.55319088
2011-07-22T00:00:00.0000000+02:00,92.55319088
2011-07-23T00:00:00.0000000+02:00,92.55319088
2011-07-24T00:00:00.0000000+02:00,92.55319088
2011-07-25T00:00:00.0000000+02:00,92.55319088
2011-07-26T00:00:00.0000000+02:00,92.08032075
2011-07-27T00:00:00.0000000+02:00,92.08032075
2011-07-28T00:00:00.0000000+02:00,92.08032075
2011-07-29T00:00:00.0000000+02:00,93.02726598
2011-07-30T00:00:00.0000000+02:00,93.02726598
2011-07-31T00:00:00.0000000+02:00,93.02726598
2011-08-01T00:00:00.0000000+02:00,93.02726598
2011-08-02T00:00:00.0000000+02:00,93.02726598
2011-08-03T00:00:00.0000000+02:00,92.55319088
2011-08-04T00:00:00.0000000+02:00,92.55319088
2011-08-05T00:00:00.0000000+02:00,92.55319088
2011-08-06T00:00:00.0000000+02:00,92.55319088
2011-08-07T00:00:00.0000000+02:00,92.08032075
2011-08-08T00:00:00.0000000+02:00,92.08032075
2011-08-09T00:00:00.0000000+02:00,92.08032075
2011-08-10T00:00:00.0000000+02:00,92.08032075
2011-08-11T00:00:00.0000000+02:00,92.08032075
2011-08-12T00:00:00.0000000+02:00,92.08032075
2011-08-13T00:00:00.0000000+02:00,92.08032075
2011-08-14T00:00:00.0000000+02:00,92.55319088
2011-08-15T00:00:00.0000000+02:00,92.55319088
2011-08-16T00:00:00.0000000+02:00,92.55319088
2011-08-17T00:00:00.0000000+02:00,93.02726598
2011-08-18T00:00:00.0000000+02:00,93.50254604
2011-08-19T00:00:00.0000000+02:00,93.50254604
2011-08-20T00:00:00.0000000+02:00,93.50254604
2011-08-21T00:00:00.0000000+02:00,93.97903102
2011-08-22T00:00:00.0000000+02:00,93.97903102
2011-08-23T00:00:00.0000000+02:00,93.50254604
2011-08-24T00:00:00.0000000+02:00,93.50254604
2011-08-25T00:00:00.0000000+02:00,93.02726598
2011-08-26T00:00:00.0000000+02:00,92.55319088
2011-08-27T00:00:00.0000000+02:00,93.02726598
2011-08-28T00:00:00.0000000+02:00,93.02726598
2011-08-29T00:00:00.0000000+02:00,93.50254604
2011-08-30T00:00:00.0000000+02:00,93.50254604
2011-08-31T00:00:00.0000000+02:00,94.45672089
2011-09-01T00:00:00.0000000+02:00,93.97903102
2011-09-02T00:00:00.0000000+02:00,93.50254604
2011-09-03T00:00:00.0000000+02:00,93.50254604
2011-09-04T00:00:00.0000000+02:00,93.50254604
2011-09-05T00:00:00.0000000+02:00,93.97903102
2011-09-06T00:00:00.0000000+02:00,94.45672089
2011-09-07T00:00:00.0000000+02:00,94.45672089
2011-09-08T00:00:00.0000000+02:00,93.97903102
2011-09-09T00:00:00.0000000+02:00,93.50254604
2011-09-10T00:00:00.0000000+02:00,93.02726598
2011-09-11T00:00:00.0000000+02:00,94.93561561
2011-09-12T00:00:00.0000000+02:00,94.93561561
2011-09-13T00:00:00.0000000+02:00,94.45672089
2011-09-14T00:00:00.0000000+02:00,94.45672089
2011-09-17T00:00:00.0000000+02:00,148.9046698
2011-09-18T00:00:00.0000000+02:00,209.8850528
2011-09-19T00:00:00.0000000+02:00,148.3054322
2011-09-20T00:00:00.0000000+02:00,146.5149323
2011-09-21T00:00:00.0000000+02:00,144.1444301
2011-09-22T00:00:00.0000000+02:00,145.3272767
2011-09-23T00:00:00.0000000+02:00,144.1444301
2011-09-24T00:00:00.0000000+02:00,110.378798
2011-09-25T00:00:00.0000000+02:00,95.41571517
2011-09-26T00:00:00.0000000+02:00,147.7073967
2011-09-27T00:00:00.0000000+02:00,146.5149323
2011-09-28T00:00:00.0000000+02:00,144.1444301
2011-09-29T00:00:00.0000000+02:00,145.9205034
2011-09-30T00:00:00.0000000+02:00,148.9046698
2011-10-01T00:00:00.0000000+02:00,148.9046698
2011-10-02T00:00:00.0000000+02:00,148.3054322
2011-10-03T00:00:00.0000000+02:00,149.5051095
2011-10-04T00:00:00.0000000+02:00,210.5971882
2011-10-05T00:00:00.0000000+02:00,212.025059
2011-10-06T00:00:00.0000000+02:00,209.1741175
2011-10-07T00:00:00.0000000+02:00,209.1741175
2011-10-08T00:00:00.0000000+02:00,188.404176
2011-10-09T00:00:00.0000000+02:00,149.5051095
2011-10-10T00:00:00.0000000+02:00,148.9046698
2011-10-11T00:00:00.0000000+02:00,147.1105634
2011-10-12T00:00:00.0000000+02:00,146.5149323
2011-10-13T00:00:00.0000000+02:00,145.3272767
